AENDERNDE_METHODEN	WRITING_METHODS
erwartet	expected
erwartet_json	expected_json
faehigkeit	capability
faehigkeit_id	capability_id
faehigkeit_pruefen	check_capability
faehigkeiten	capabilities
faehigkeiten_aus_exposes	capabilities_from_exposes
fehler	errors
feldfehler	field_errors
fenster_offen	window_open
fenster_zu_seit_s	window_closed_for_s
fensterkontakte	window_contacts
fensterrolle	window_role
filterwerte	filter_values
folgetag	next_day
formular	form
formular_erneut	form_again
formularwerte	form_values
fremde_zuordnung	foreign_assignment
fremder_punkt	foreign_point
fremdes_geheimnis	fremdes_secret
frisch_geraet	fresh_device
frost	frost
frost_c	frost_c
frost_code	frost_code
frost_id	frost_id
frost_temp	frost_temp
frostschutz	frost_protection
funkguete	radio_quality
funktion	function
geaendert	changed
gelesen	read_back
geltender_punkt	current_point
geprueft	checked
gepruefte_werte	checked_values
geraet	device
geraet_anlegen	create_device
geraet_id	device_id
geraet_loesen	detach_device
geraet_loesen_view	device_detach_view
geraet_tauschen	swap_device
geraet_tauschen_view	device_swap_view
geraet_zuordnen	assign_device
geraet_zuordnen_view	assign_device_view
geraete	devices
geraete_auflisten	list_devices
geraete_der_zone	devices_of_the_zone
geraete_id	devices_id
geraete_ids	devices_ids
geraete_router	devices_router
geraetename	device_name
geraetename_mit_umlaut_und_leerzeichen	device_name_with_umlaut_and_space
geraetenamen	device_names
geraeterolle	devicesrolle
geraeteuebersicht	devicesuebersicht
geraetezuordnung_router	device_assignment_router
geraetezustand_anlegen	create_device_state
geschaltet	switched
gespeichert	stored
gestartet	started
gesunder_zustand	healthy_state
gewartet	waited
grenze	limit
grenzen	limits
gruppe	group
gruppe2	group_two
gruppe_anlegen	create_group
gruppe_anlegen_ansicht	group_create_view
gruppe_id	group_id
gruppe_loeschen	delete_group
gruppe_loeschen_ansicht	group_delete_view
gruppen	groups
gruppen_id	group_id
gruppen_ids	group_ids
gruppenliste	groupliste
gruppenrechte_setzen	set_grouppermissions
gueltig_tage	valid_days
hash_geheimnis	hash_secret
hash_wert	hash_value
hat_recht	hat_permission
hersteller	manufacturer
hinweis	hint
hinweis_text	hint_text
hoechstabstand	maximum_interval
hoechstwert	maximum
hysterese	hysteresis
in_schalter	inside_switch
inaktiv	inactive
ist_befehl	ist_command
ist_gruppe	ist_group
ist_temperatur	current_temperature
jetzt	now
jetzt_utc	now_utc
kennung	identifier
klartext	plaintext
kontakt	contact
kontaktwert	contact_value
kranker_zustand	unhealthy_state
krumme_zahl	krumme_number
laufen	run
laufend	running
lebensdauer_s	lifetime_s
lesen	read_only
letzte_schaltung	last_switch
letzter	last
liste	items
loeschsperre	delete_guard
login_formular	login_form
marke	marker
mcp_geraete_auflisten	mcp_list_devices
mcp_pfad	mcp_path
mcp_regelparameter_lesen	mcp_read_control_parameters
mcp_regelparameter_setzen	mcp_set_control_parameters
mcp_schattenentscheidungen	mcp_shadow_decisions
mcp_sollwert_erklaeren	mcp_explain_setpoint
mcp_sollwerte_lesen	mcp_read_setpoints
mcp_steuerung_lesen	mcp_read_control
mcp_trockenlauf_erzwingen	mcp_force_dry_run
mcp_uebersteuern	mcp_override
mcp_uebersteuerung_aufheben	mcp_cancel_override
mcp_zeitplan_lesen	mcp_read_schedule
mcp_zeitplanpunkt_verschieben	mcp_move_schedule_point
mcp_zonen_auflisten	mcp_list_zones
mcp_zonenzustand	mcp_zone_state
meldung	notice
meldungen	notices
meross_ergebnis	meross_result
meross_fehler	meross_error
messquelle	temperature_source
messquelle_setzen	set_temperature_source
messquelle_setzen_view	temperature_source_set_view
messwert	measurement
messwert_anlegen	create_measurement
mindestdauer	minimum_duration
minuten	minutes
mit_recht	with_permission
mit_zeilenumbruch	mit_rownumbruch
modi	modes
modi_router	modes_router
modul	module
modus	mode
modus_aendern	update_mode
modus_anlegen	create_mode
modus_anmeldung	mode_discovery
modus_bearbeiten_formular	mode_edit_form
modus_code	mode_code
modus_entfernen	remove_mode
modus_erstellen	create_mode_view
modus_id	mode_id
modus_loeschen	delete_mode
modus_loeschen_formular	mode_delete_form
modus_name	mode_name
modus_neu_formular	mode_new_form
modus_speichern	save_mode
modus_topics	mode_topics
modusliste	modeliste
modusname	mode_name
modusnamen	mode_names
montag_drei_uhr	monday_three
montag_zehn_uhr	monday_ten
mqtt_ergebnis	mqtt_result
mqtt_zustand	mqtt_state
muster	pattern
nach_der_anmeldung	after_login
nach_geraet	by_device
nach_tag	by_day
nach_zone	by_zone
nachher_erreichbar	reachable_after
nachricht	message
nachricht_verarbeiten	process_message
nachrichten	messages
nacht	night
nachtstunden	night_hours
nachtstunden_lesen	read_night_hours
naechste_aufbewahrung	next_retention
naechste_schaltung	next_schaltung
naechster	next_one
naechster_punkt	next_point
neue_rollen	new_rolen
neue_zuordnung	new_assignment
neuer_pfad	neuer_path
neues_geheimnis	neues_secret
neues_passwort	neues_password
nur_batterie	only_battery
nur_lesen	read_only
nutzlast	payload
ohne_recht	without_permission
ohne_zone	without_zone
ohne_zustand	without_state
original_loeschen	delete_original
parameter_anmeldung	parameter_discovery
parameter_anzeigen	show_parameter
parameter_einzeln_speichern	save_parameter_einzeln
parameter_setzen	set_parameter
parameter_speichern	save_parameter
passkey_anlegen	create_passkey
passkey_entfernen	remove_passkey
passkey_liste	list_passkey
passkey_loeschen	delete_passkey
passwort	password
passwort_formularfehler	password_form_error
passwort_hash	password_hash
passwort_setzen	set_password
principal_fuer_benutzer	principal_for_user
principal_fuer_token	principal_for_token
punkt	point
punkt_id	point_id
punkte	points
punkte_je_zone	points_per_zone
quelle	source
quelle_code	source_code_value
quelle_id	source_id
quellen	sources
quellen_code	source_codes
quellpunkte	source_points
quellzone	source_zone
recht	permission
recht_entziehen	revoke_permission
recht_id	permission_id
recht_vergeben	grant_permission
rechte	permissions
rechte_setzen_ansicht	permissions_set_view
regelparameter	control_parameters
regelparameter_lesen	read_control_parameters
regelparameter_setzen	set_control_parameters
regelparameter_speichern	save_control_parameters
registrierung_abschliessen	finish_registrierung
registrierung_beginnen	begin_registrierung
registrierung_speichern	save_registrierung
rohschritt	raw_step
rohwert	raw_value
rohwerte	raw_values
schalten	switching
schalten_erlaubt	switching_allowed
schaltet	switches
schaltpunkte	schedule_points
schaltpunkte_aus_nachtstunden	schedule_points_from_nachthours
scharf	armed
scharf_anmeldung	armed_discovery
scharf_schalten	arm
scharf_topic	armed_topic
scharfschalten	arm_view
schattenentscheidung_anlegen	create_shadow_decision
schattenentscheidungen	shadow_decisions
schattenlauf	shadowrun
schema_pruefen	check_schema
schnittstellen	interfaces
schnittstellen_anzeigen	show_interfaces
schritt	step
schritt_k	step_k
seite	page
seitennummer	pagennummer
sekunden	seconds
sekunden_gesamt	seconds_gesamt
senden	send
senden_erlaubt	sending_allowed
sensor_status_zeile	sensor_status_row
sensormeldung	sensornotice
sensorzustand	sensor_state
server_klasse	server_class
set_user_aktiv	set_user_active
setup_formular	setup_form
sichere_werte	safe_values
sichtbare_zonen	zones
sitzung	http_session
sitzung_anlegen	create_session
sitzung_aufloesen	resolve_session
sitzung_geheimnis	session_secret
sitzung_widerrufen	revoke_session
sitzungsdauer_s	session_lifetime_s
sitzungslebensdauer_s	session_lifetime_s
sollwert	setpoint
sollwert_erklaeren	explain_setpoint
sollwert_setzen	set_setpoint
sollwerte	setpoints
sollwerte_aendern	update_setpoints
sollwerte_formular	setpoints_form
sollwerte_lesen	read_setpoints
sollwerte_speichern	save_setpoints
stand	state
stand_der_datenbank	database_state
stand_the_datenbank	database_state
standard	default
start	start
start_zustand	start_state
startminute	start_minute
statistik_anzeigen	show_statistics
steuerung	control
steuerung_anzeigen	show_control
steuerung_lesen	read_control
steuerung_router	control_router
steuerung_scharfschalten	control_set_armed
steuerung_vorgaben	control_defaults
stille_faehigkeiten	quiet_capabilities
stoerung	fault
stumm	silent
stumm_by_seconds	silent_after_seconds
stumm_nach	silent_after
stumm_nach_sekunden	silent_after_seconds
stunden	hours
tag	day
tag_modus	tag_mode
tage	days
tagesanfang	day_start
taste_belegen	bind_button
tausch	swap
temperatur	temperature
temperatur_c	temperature_c
temperatur_fuer_modus	temperature_for_mode
temperatur_pruefen	check_temperature
temperatur_text	temperature_text
temperaturen	temperatures
thermostat_verstellen	adjust_thermostat
token_aufloesen	resolve_token
token_ausstellen_ansicht	token_ausstellen_view
token_mit_rechten	token_with_permissions
token_widerrufen	revoke_token
token_widerrufen_ansicht	token_revoke_view
tokenliste	token_list
treffer	match
trockenlauf_erzwingen	force_dry_run
ueber_temperatur	above_temperature
uebersteuern	override_zone
uebersteuerung	override
uebersteuerung_anlegen	create_override
uebersteuerung_aufheben	cancel_override
uebersteuerung_beenden	end_override
uebersteuerung_erstellen	create_override_view
uebersteuerung_loeschen	delete_override
uebersteuerungen	overrides
uhrzeit	time_of_day
uhrzeit_in_minuten	time_of_day_in_minutes
ungeprueft	unchecked
verfuegbarkeits_topic	availability_topic
veroeffentlichen	publish
veroeffentlicher	publisher
veroeffentlicht	published
veroeffentlichung	publication
veroeffentlichungsstand	publicationsstand
veroeffentlichungszyklus	publication_cycle
verschiebefehler	move_error
verstoesse	violations
verstrichen	elapsed
verwalter	administrator
vor_dem_fokus	before_focus
vor_der_anmeldung	before_login
vorgabe	default_value
vorgaben	defaults
vorgaben_speichern	save_defaults
vorhandene_rollen	vorhandene_rolen
vorher_erreichbar	reachable_before
vorher_sollwerte	vorher_setpoints
vorher_zeitplan	vorher_schedule
vorherige_kennung	previous_identifier
vorheriger_wert	previous_value
war_messquelle	war_temperature_source
warten	wait
web_zeile	web_row
web_zone	web_zone
werkzeuge	tools
wert	value
werte	values
wochenabschnitte	week_segments
wochenanfang	week_start
wochenbild	week_picture
wochentag	weekday
zaehlend	counting
zaehler	counter
zahl_pruefen	check_zahl
zeitplan	schedule
zeitplan_anzeigen	show_schedule
zeitplan_lesen	read_schedule
zeitplan_router	schedule_router
zeitplan_uebernehmen	adopt_schedule
zeitplan_uebernehmen_ausfuehren	execute_schedule_adoption
zeitplan_uebernehmen_formular	schedule_adopt_form
zeitplanpunkt_anlegen	create_schedule_point
zeitplanpunkt_entfernen	remove_schedule_point
zeitplanpunkt_erstellen	create_schedule_point_view
zeitplanpunkt_loeschen	delete_schedule_point
zeitplanpunkt_loeschen_formular	schedule_point_delete_form
zeitplanpunkt_umsetzen	schedule_point_umsetzen
zeitplanpunkt_verschieben	move_schedule_point
zeitpunkt	moment
zeitpunkt2	moment_two
zeitpunkt3	moment_three
zeitpunkt4	moment_four
zeitpunkt5	moment_five
zeitpunkte	moments
zeitstempel_anmeldung	timestamp_discovery
zeitzone	timezone_name
zeremonie_der_zeile	ceremony_of_the_row
zielpunkte	target_points
zone_aendern	update_zone
zone_anlegen	create_zone
zone_anlegen_hilfe	zone_create_hilfe
zone_bearbeiten	edit_zone
zone_entfernen	remove_zone
zone_erstellen	create_zone_view
zone_loeschen	delete_zone
zone_loeschen_ausfuehren	execute_zone_delete
zone_loeschen_bestaetigen	zone_delete_bestaetigen
zone_mit_wert	zone_with_value
zone_mit_zeitplan	zone_with_schedule
zone_neu	zone_new
zone_ohne_wert	zone_without_value
zone_ohne_zustand	zone_without_state
zone_speichern	save_zone
zone_zustand_senden	zone_state_senden
zonen	zone_list
zonen_auflisten	list_zone
zonen_id	zone_id
zonen_modul	zone_modul
zonen_router	zone_router
zonenabhaengigkeiten	zonedependencies
zonenbezogen	zone_scoped
zonendaten	zone_data
zonenliste	zoneliste
zonenname	zone_name
zonennamen	zone_names
zonenwert	zone_value
zonenzustand	zone_state
zonenzustand_anlegen	create_zone_state
zonenzustand_fortschreiben	advance_zone_state
zuerst	first
zuletzt	last_seen
zuletzt_gedrueckt	last_pressed
zuletzt_gehoert	last_heard
zuletzt_geschlossen	last_closed
zuletzt_gesehen	last_seen
zuordnung	assignment
zuordnung_id	assignment_id
zuordnungen	assignments
zustand	state
zustands_topics	states_topics
zustandssatz	state_row
zweite_gruppe	second_group
zweite_marke	second_marker
zweite_zeilen	zweite_rown
zweite_zone	second_zone
zyklus	cycle
zyklus_sekunden	cycle_seconds
